URL,Response Code,News Error,Detected,Category,Platform,Last crawled
https://www.lehmans.com/product/hard-back-paper-and-fabric-clip-x2d-on-oil-lamp-shades?show=all,404,,7/6/16,Not found,Desktop,7/6/16
https://www.lehmans.com/p-811-princess-feather-chimney.aspx?pageNum=1,404,,7/4/16,Not found,Desktop,7/4/16
https://www.lehmans.com/p-498-our-best-jar-opener.aspx?pageNum=1,404,,7/4/16,Not found,Desktop,7/4/16
https://www.lehmans.com/p-2077-replacement-spigot-for-big-berkey-water-filter.aspx?pageNum=1,404,,7/4/16,Not found,Desktop,7/4/16
https://www.lehmans.com/p-2997-heartland-classic-dual-fuel-ranges.aspx?pageNum=1,404,,7/4/16,Not found,Desktop,7/4/16
https://www.lehmans.com/urlredirect.aspx?redirect=/store/article/1287?Args=/Soapstone&Args=/Soapstone,404,,4/18/15,Not found,Desktop,6/26/16
https://www.lehmans.com/p-827-nut-chopper-with-steel-teeth.aspx?pageNum=1,404,,7/4/16,Not found,Desktop,7/4/16
https://www.lehmans.com/p-1596-collapsible-drinking-cup.aspx?pageNum=1,404,,7/4/16,Not found,Desktop,7/4/16
https://www.lehmans.com/product/overland-mail-sign?show=all,404,,7/5/16,Not found,Desktop,7/18/16
https://www.lehmans.com/p-3274-e-z-till-garden-cultivator.aspx?pageNum=1,404,,7/3/16,Not found,Desktop,7/3/16
https://www.lehmans.com/p-1430-mennonite-country-style-recipes-and-kitchen-secrets-book.aspx?OrderBy=5&show=all,404,,6/30/16,Not found,Desktop,7/4/16
https://www.lehmans.com/p-4406-old-fashioned-corn-knife.aspx?pageNum=1,404,,7/4/16,Not found,Desktop,7/4/16
https://www.lehmans.com/product/5-gallon-clay-crock?show=all,404,,7/8/16,Not found,Desktop,7/8/16
https://www.lehmans.com/p-3111-wall-mounted-can-opener.aspx?show=all&OrderBy=1OrderBy=1orderby2,404,,7/5/16,Not found,Desktop,7/5/16
https://www.lehmans.com/product/toy-memories-match-game,404,,7/8/16,Not found,Desktop,7/8/16
https://www.lehmans.com/p-3042-fireplace-grates-built-to-take-the-heat.aspx?pageNum=1,404,,7/3/16,Not found,Desktop,7/3/16
https://www.lehmans.com/p-4386-super-garden-fork.aspx?OrderBy=5&show=all,404,,7/4/16,Not found,Desktop,7/4/16
